#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 196202:2726 | 06/13/12 01:36:57 | 104  | 104  | 8390703.852    | 8304648.807   |
| 196203:2726 | 06/13/12 02:21:11 | 113  | 113  | 8666613.409    | 8609649.294   |
| 196218:2728 | 06/13/12 07:43:09 | 756  | 756  | 91366767.675   | 89792210.062  |
| 196239:2728 | 06/13/12 12:50:17 | 1006 | 1006 | 78738289.355   | 78128767.824  |
| 196249:2729 | 06/14/12 00:03:03 | 35   | 35   | 5213905.356    | 4967781.458   |
| 196250:2729 | 06/14/12 00:22:01 | 423  | 423  | 54436286.870   | 53323503.401  |
| 196252:2729 | 06/14/12 03:15:10 | 35   | 35   | 3914792.168    | 3871888.091   |
| 196334:2732 | 06/14/12 16:30:13 | 270  | 270  | 37805012.340   | 36884196.218  |
| 196349:2733 | 06/14/12 22:45:51 | 190  | 190  | 27318504.164   | 26561004.223  |
| 196357:2733 | 06/15/12 02:01:46 | 4    | 4    | 452560.416     | 417223.799    |
| 196359:2733 | 06/15/12 02:08:36 | 2    | 2    | 224188.640     | 186935.475    |
| 196362:2733 | 06/15/12 02:24:41 | 88   | 88   | 9422674.642    | 9219832.989   |
| 196363:2733 | 06/15/12 03:10:27 | 32   | 32   | 3269926.737    | 3198541.149   |
| 196364:2733 | 06/15/12 03:29:54 | 1283 | 1283 | 97593011.957   | 96692124.246  |
| 196437:2734 | 06/16/12 00:39:25 | 166  | 166  | 14496639.740   | 14376711.748  |
| 196438:2734 | 06/16/12 02:08:03 | 1266 | 1266 | 84162758.275   | 83573693.712  |
| 196452:2736 | 06/16/12 16:12:22 | 995  | 995  | 115236223.340  | 112594665.287 |
| 196453:2736 | 06/16/12 22:47:50 | 1630 | 1630 | 114181877.953  | 113255823.060 |
| 196495:2737 | 06/17/12 16:59:40 | 158  | 158  | 21272539.683   | 20795557.970  |
| 196509:2737 | 06/17/12 20:07:52 | 68   | 68   | 7217292.794    | 7133651.418   |
| 196531:2739 | 06/18/12 06:32:17 | 370  | 370  | 48954373.287   | 48069731.498  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 56    | 146  | 50895 | 50895 | 4493290785.572    | 4411703591.082   |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: [(194480, 9), (194480, 10), (194480, 11), (194480, 12), (194480, 13), (194480, 14), (194480, 15), (194480, 16), (195552, 1392), (195552, 1393), (196218, 738), (196239, 498), (196239, 499), (196239, 500), (196239, 501), (196239, 502)]
